external_id,provider_external_id,provider_name,provider_match,parent_provider_canonical,resource_name,legacy_schema_category,category,current_app_category,subcategory,legacy_subcategory,street,city,state,zip,phone,email,website,hours_summary,description,eligibility_notes,service_area,walk_ins_accepted,requires_id,requires_referral,beds_total,beds_available,availability_status,verification_status,is_active,source_urls,source_type,confidence,lat,lng,geocode_status,is_map_ready,import_priority,import_status,import_notes,access_type,geocode_source_url,population_served,provider_type,facility_features,tags
CSTB-001-tarpon-springs-center-work_exchange,CSTB-001,CareerSource Tampa Bay,CareerSource Tampa Bay,CareerSource Tampa Bay,Tarpon Springs Center,work_exchange,work_exchange,work_exchange,career_center,career_center,682 E Klosterman Rd,Tarpon Springs,FL,34689,,,https://careersourcetampabay.com/career-centers/,,"Career center serving North Pinellas job seekers.

Eligibility: Public workforce center; confirm hours from official center directory.",,Tarpon Springs,true,false,false,,,unknown,verified,true,https://careersourcetampabay.com/career-centers/,live_db,90,28.14971,-82.75956,geocoded,true,high,ready_for_import,exported from live db — migration 008+012,physical_site,,,nonprofit,,
CSTB-001-veteran-services-work_exchange,CSTB-001,CareerSource Tampa Bay,CareerSource Tampa Bay,CareerSource Tampa Bay,Veteran Services,work_exchange,work_exchange,work_exchange,veteran_employment_support,veteran_employment_support,9215 N Florida Ave,Tampa,FL,33612,1-844-693-5838 / 211,admin@firstcontact.org,https://www.firstcontact.org/veteran-services,Hotline and 211 access available 24/7,"Florida Veterans Support Line and housing support connection for veterans and families.

Eligibility: For veterans and veteran families; SSVF screening via 211/partner referral.",,Tampa,false,false,false,,,unknown,verified,true,https://www.firstcontact.org/veteran-services,live_db,90,28.05071,-82.451,geocoded,true,high,ready_for_import,exported from live db — migration 008+012,physical_site,,,nonprofit,,
CASA-001-domestic-violence-shelter-and-support-services-shelter,CASA-001,CASA Pinellas,CASA Pinellas,CASA Pinellas,Domestic Violence Shelter and Support Services,shelter,shelter,shelter,domestic_violence_support,domestic_violence_support,"1011 First Ave N, 2nd Floor",St. Petersburg,FL,33705,(727) 895-4912,,https://www.casapinellas.org/,,"Domestic violence support, advocacy, and shelter-related services.

Eligibility: Use public support office only; do not expose confidential shelter location.",,St. Petersburg,false,false,true,,,unknown,verified,true,https://www.casapinellas.org/,live_db,90,27.74337,-82.643724,geocoded,true,high,ready_for_import,exported from live db — migration 008+012,physical_site,,,nonprofit,,
CASA-001-hotline-crisis-support-other,CASA-001,CASA Pinellas,CASA Pinellas,CASA Pinellas,Hotline / Crisis Support,other,other,other,crisis_hotline,crisis_hotline,,,FL,,(727) 895-4912,,https://www.casapinellas.org/,24/7 hotline / intake,"Hotline and crisis support resource.

Eligibility: Support listing only; not a physical site listing.",,Tampa Bay,false,false,true,,,unknown,verified,true,https://www.casapinellas.org/,live_db,90,,,not_geocoded,false,high,ready_for_import,exported from live db — migration 008+012,phone_intake,,,nonprofit,,
CCTH-001-emergency-shelter-temporary-housing-shelter,CCTH-001,Catholic Charities Tampa Hope,Catholic Charities Tampa Hope,Catholic Charities Tampa Hope,Emergency Shelter / Temporary Housing,shelter,shelter,shelter,emergency_shelter,emergency_shelter,,Tampa,FL,,(813) 631-4370,,https://www.ccdosp.org/,,"Emergency shelter / temporary housing candidate identified from public contact references.

Eligibility: Needs official shelter program page and public address confirmation.",,Tampa,false,false,true,,,unknown,verified,true,https://www.ccdosp.org/,live_db,90,,,not_geocoded,false,high,ready_for_import,exported from live db — migration 008+012,phone_intake,,,nonprofit,,
COVE-001-emergency-shelter-temporary-housing-shelter,COVE-001,Cove Community Housing Solutions Center,Cove Community Housing Solutions Center,Cove Community Housing Solutions Center,Emergency Shelter / Temporary Housing,shelter,shelter,shelter,emergency_shelter,emergency_shelter,3630 N 50th St,Tampa,FL,33619,,,,,"Emergency shelter / temporary housing candidate identified from county shelter listings.

Eligibility: Needs official site or intake page confirmation.",,Tampa,false,false,false,,,unknown,verified,true,,live_db,90,27.93536,-82.37841,geocoded,true,high,ready_for_import,exported from live db — migration 008+012,physical_site,,,nonprofit,,
FEAST-001-driveup-pantry-food,FEAST-001,FEAST Food Pantry,FEAST Food Pantry,FEAST Food Pantry,Drive-Up Pantry,food,food,food,food_pantry,food_pantry,2255 Nebraska Ave,Palm Harbor,FL,34683,,,https://feastfoodpantry.org/,,"Drive-up pantry candidate providing grocery assistance.

Eligibility: Confirm schedule and intake rules from official site.",,Palm Harbor,true,false,false,,,unknown,verified,true,https://feastfoodpantry.org/,live_db,90,28.08626,-82.76025,geocoded,true,high,ready_for_import,exported from live db — migration 008+012,physical_site,,,nonprofit,,
FEEDSTP-001-weekly-food-distribution-food,FEEDSTP-001,Feed St. Pete,Feed St. Pete,Feed St. Pete,Weekly Food Distribution,food,food,food,food_distribution,food_distribution,5501 31st St S,St. Petersburg,FL,33712,,,https://feedstpete.org/,,"Weekly food distribution candidate.

Eligibility: Confirm distribution schedule and any registration requirements.",,St. Petersburg,true,false,false,,,unknown,verified,true,https://feedstpete.org/,live_db,90,27.73719,-82.66535,geocoded,true,high,ready_for_import,exported from live db — migration 008+012,physical_site,,,nonprofit,,
FTB-001-bistro-at-causeway-center-food,FTB-001,Feeding Tampa Bay,Feeding Tampa Bay,Feeding Tampa Bay,Bistro at Causeway Center,food,food,food,free_meal,free_meal,3624 Causeway Blvd,Tampa,FL,33619,(813) 254-1190,,https://feedingtampabay.org/,,"Community meal / food access site at Causeway Center.

Eligibility: Verify site-specific hours and whether this is still active as a separate listing.",,Tampa,true,false,false,,,unknown,verified,true,https://feedingtampabay.org/,live_db,90,27.93536,-82.37841,geocoded,true,high,ready_for_import,exported from live db — migration 008+012,physical_site,,,nonprofit,,
FTB-001-trinity-cafe-nebraska-food,FTB-001,Feeding Tampa Bay,Feeding Tampa Bay,Feeding Tampa Bay,Trinity Cafe Nebraska,food,food,food,free_meal,free_meal,2801 N Nebraska Ave,Tampa,FL,33602,(813) 254-1190,,https://feedingtampabay.org/,,"Free meal site under Feeding Tampa Bay Trinity Cafe program.

Eligibility: Verify site-specific hours before import.",,Tampa,true,false,false,,,unknown,verified,true,https://feedingtampabay.org/,live_db,90,27.9614,-82.4597,geocoded,true,high,ready_for_import,exported from live db — migration 008+012,physical_site,,,nonprofit,,
FTB-PIN-001-feeding-pinellas-empowerment-center-neighbor-services-food,FTB-PIN-001,Feeding Tampa Bay - Pinellas County,Feeding Tampa Bay - Pinellas County,Feeding Tampa Bay - Pinellas County,Feeding Pinellas Empowerment Center - Neighbor Services,food,food,food,food_assistance_navigation,food_assistance_navigation,6330 54th Ave N,St. Petersburg,FL,33709,813.710.6269,feedingpinellas@feedingtampabay.org,https://feedingtampabay.org/feeding-pinellas/feeding-pinellas-empowerment-center,Mon/Wed 1:00 PM-4:00 PM; Tue/Thu 9:00 AM-4:00 PM; Fri by appointment,"Neighbor services and resource navigation for food assistance, SNAP, and related benefits support.

Eligibility: Walk-ins first come, first served; Friday by appointment.",,St. Petersburg,true,false,false,,,unknown,verified,true,https://feedingtampabay.org/feeding-pinellas/feeding-pinellas-empowerment-center,live_db,90,27.81721,-82.73075,geocoded,true,high,ready_for_import,exported from live db — migration 008+012,physical_site,,,nonprofit,,
FTB-PIN-001-trinity-cafe-at-feeding-pinellas-food,FTB-PIN-001,Feeding Tampa Bay - Pinellas County,Feeding Tampa Bay - Pinellas County,Feeding Tampa Bay - Pinellas County,Trinity Cafe at Feeding Pinellas,food,food,food,free_meal,free_meal,6330 54th Ave N,St. Petersburg,FL,33709,813.710.6269,feedingpinellas@feedingtampabay.org,https://ftb.org/trinity,Mon-Fri 11:30 AM-12:30 PM,"Free full-service meal site at Feeding Pinellas.

Eligibility: Walk-in meal service per public page.",,St. Petersburg,true,false,false,,,unknown,verified,true,https://ftb.org/trinity,live_db,90,27.81721,-82.73075,geocoded,true,high,ready_for_import,exported from live db — migration 008+012,physical_site,,,nonprofit,,
FCONT-001-211-community-resource-connections-other,FCONT-001,First Contact,First Contact,First Contact,211 Community Resource Connections,other,other,other,resource_navigation,resource_navigation,,,FL,,211,,https://www.firstcontact.org/211-tampa-bay-cares,,"211-based resource navigation and referral support.

Eligibility: Phone/text/web intake listing, not a map location.",,Tampa Bay,false,false,true,,,unknown,verified,true,https://www.firstcontact.org/211-tampa-bay-cares,live_db,90,,,not_geocoded,false,high,ready_for_import,exported from live db — migration 008+012,phone_intake,,,nonprofit,,
FCONT-001-homeless-helpline-other,FCONT-001,First Contact,First Contact,First Contact,Homeless Helpline,other,other,other,homeless_helpline,homeless_helpline,,,FL,,211 / (727) 210-4211,,https://www.firstcontact.org/homeless-helpline,,"Homeless helpline and coordinated entry support for Pinellas and surrounding area.

Eligibility: Phone/web intake only; not a map-ready physical site.",,Tampa Bay,false,false,true,,,unknown,verified,true,https://www.firstcontact.org/homeless-helpline,live_db,90,,,not_geocoded,false,high,ready_for_import,exported from live db — migration 008+012,phone_intake,,,nonprofit,,
FCONT-001-pinellas-rapid-rehousing-collaborative-other,FCONT-001,First Contact,First Contact,First Contact,Pinellas Rapid Re-Housing Collaborative,other,other,other,housing_support,housing_support,,,FL,,211 / (727) 210-4211,,https://www.firstcontact.org/,,"Rapid re-housing support / coordinated entry candidate.

Eligibility: Support program rather than public walk-in site; confirm intake details.",,Tampa Bay,false,false,true,,,unknown,verified,true,https://www.firstcontact.org/,live_db,90,,,not_geocoded,false,high,ready_for_import,exported from live db — migration 008+012,phone_intake,,,nonprofit,,
FCONT-001-veteran-services-other,FCONT-001,First Contact,First Contact,First Contact,Veteran Services,other,other,other,veteran_support,veteran_support,,,FL,,211 / (727) 210-4211,,https://www.firstcontact.org/,,"Veteran support / referral services candidate under First Contact resource network.

Eligibility: Program details should be confirmed on official site before public import.",,Tampa Bay,false,false,true,,,unknown,verified,true,https://www.firstcontact.org/,live_db,90,,,not_geocoded,false,high,ready_for_import,exported from live db — migration 008+012,phone_intake,,,nonprofit,,
FSP-001-hillsborough-river-state-park-campground-outdoor_space,FSP-001,Florida State Parks – Tampa Bay,Florida State Parks – Tampa Bay,Florida State Parks – Tampa Bay,Hillsborough River State Park – Campground,outdoor_space,outdoor_space,outdoor_space,campground,campground,15402 US 301 N,Thonotosassa,FL,33592,(813) 688-9500,,https://www.floridastateparks.org/parks-and-trails/hillsborough-river-state-park,Park open 8 AM to sunset daily; campground office hours vary,"Florida State Park with 112-site RV/tent campground plus primitive group camping. Restrooms: confirmed – each campground loop has restrooms with flush toilets. Showers: confirmed – hot showers (coin-operated) in each campground loop restroom building. Camping: confirmed – RV/tent $24/night (most sites have 30/50 amp electric + water); primitive group camping (tent only, no electric, cold showers) for youth/nonprofit orgs; advance reservations via ReserveAmerica (up to 11 months). Also pool, cafe, gift shop, laundry, dump station. Overnight parking: for registered campers only.

Eligibility: Open to public. Camping reservations at Reserve.FloridaStateParks.org or 1-800-326-3521. State park entry fee applies.",,Thonotosassa,true,false,false,,,available,verified,true,https://www.floridastateparks.org/parks-and-trails/hillsborough-river-state-park,live_db,90,28.1489,-82.2302,geocoded,true,high,ready_for_import,exported from live db — migration 008+012,physical_site,,,nonprofit,,
HEP-001-homeless-shelter-and-support-campus-shelter,HEP-001,HEP,HEP,HEP,Homeless Shelter and Support Campus,shelter,shelter,shelter,emergency_shelter,emergency_shelter,1120 N Betty Ln,Clearwater,FL,33755,,,https://www.hepempowers.org/,,"Shelter and service campus for people experiencing homelessness.

Eligibility: Confirm main intake phone and public campus naming before import.",,Clearwater,true,false,false,,,unknown,verified,true,https://www.hepempowers.org/,live_db,90,27.979046,-82.78302,geocoded,true,high,ready_for_import,exported from live db — migration 008+012,physical_site,,,nonprofit,,
HEP-001-veteransfocused-shelter-and-housing-support-shelter,HEP-001,HEP,HEP,HEP,Veterans-Focused Shelter and Housing Support,shelter,shelter,shelter,veteran_housing_support,veteran_housing_support,1120 N Betty Ln,Clearwater,FL,33755,,,https://www.hepempowers.org/,,"Veteran-focused housing and support candidate at HEP campus.

Eligibility: May be better as a sub-service row under HEP if not separately marketed.",,Clearwater,false,false,true,,,unknown,verified,true,https://www.hepempowers.org/,live_db,90,27.979046,-82.78302,geocoded,true,high,ready_for_import,exported from live db — migration 008+012,physical_site,,,nonprofit,,
HERN-PARKS-001-bayport-park-outdoor_space,HERN-PARKS-001,Hernando County Parks & Recreation,Hernando County Parks & Recreation,Hernando County Parks & Recreation,Bayport Park,outdoor_space,outdoor_space,outdoor_space,day_use_park_with_restrooms,day_use_park_with_restrooms,4140 Cortez Blvd,Spring Hill,FL,34607,(352) 754-4031,parksandrec@hernandocounty.us,https://www.hernandocounty.us/community-recreation/parks-recreation/bayport-park/,Open 24/7 (boat ramp); park generally 8 AM–6 PM,"County park (7 acres) on Gulf of Mexico with two boat ramps. Restrooms: confirmed – renovated restrooms on site (note: restrooms reported as temporarily closed for repairs per recent visitor reviews; verify current status). Showers: NOT confirmed – no showers documented in official sources. Camping: NOT allowed – day-use only. Overnight parking: overnight boat ramp parking allowed with proper fee/daily receipt or annual permit (Pinellas County FAQ cross-referenced; Hernando County specific policy uncertain – mark for review). Features: fishing pier, 2 boat ramps, scenic boardwalk, pavilion, picnic tables, barbecue grills, parking fee applies.

Eligibility: Open to public. Parking fee applies. Day-use only; overnight camping not allowed.",,Spring Hill,true,false,false,,,available,verified,true,https://www.hernandocounty.us/community-recreation/parks-recreation/bayport-park/,live_db,90,28.5339,-82.6501,geocoded,true,high,ready_for_import,exported from live db — migration 008+012,physical_site,,,nonprofit,,
HERN-PARKS-001-jenkins-creek-park-outdoor_space,HERN-PARKS-001,Hernando County Parks & Recreation,Hernando County Parks & Recreation,Hernando County Parks & Recreation,Jenkins Creek Park,outdoor_space,outdoor_space,outdoor_space,day_use_park_with_restrooms,day_use_park_with_restrooms,6401 Shoal Line Blvd,Spring Hill,FL,34607,(352) 754-4031,parksandrec@hernandocounty.us,https://www.hernandocounty.us/community-recreation/parks-recreation/jenkins-creek-park/,8 AM to sunset,"Day-use county park (3 acres) on Jenkins Creek adjacent to Linda Pedersen Park. Restrooms: confirmed – restrooms on site. Showers: NOT confirmed – no showers documented in official sources; park description does not mention showers. Camping: NOT allowed – day-use only. Overnight parking: NOT allowed. Features: fishing pier (~420 ft), boat launch (small boats/hand launch only), picnic shelters, bird watching, grill.

Eligibility: Open to public. Day-use only. No lifeguards on duty.",,Spring Hill,true,false,false,,,available,verified,true,https://www.hernandocounty.us/community-recreation/parks-recreation/jenkins-creek-park/,live_db,90,28.5222,-82.6369,geocoded,true,high,ready_for_import,exported from live db — migration 008+012,physical_site,,,nonprofit,,
HERN-PARKS-001-lake-townsen-regional-park-outdoor_space,HERN-PARKS-001,Hernando County Parks & Recreation,Hernando County Parks & Recreation,Hernando County Parks & Recreation,Lake Townsen Regional Park,outdoor_space,outdoor_space,outdoor_space,day_use_park_with_restrooms,day_use_park_with_restrooms,28011 Lake Lindsey Rd,Brooksville,FL,34601,(352) 754-4031,parksandrec@hernandocounty.us,https://www.hernandocounty.us/community-recreation/parks-recreation/lake-townsen-regional-park/,Open 24/7,"Regional park (375 acres) on Withlacoochee River with multi-use trails. Restrooms: confirmed – public restrooms on site (restroom closure for upgrades reported July 2024; should be resolved). Showers: NOT confirmed – no showers documented in official sources. Camping: NOT allowed – day-use only; ESL preserves prohibit overnight camping per official Hernando County policy. Overnight parking: uncertain – park listed as open 24/7 but overnight camping/parking not explicitly permitted; flagged for manual review. Features: fishing pier, boat ramp on Withlacoochee River, baseball, basketball, volleyball, horseshoes, horse trailer parking, equestrian trails, picnic pavilions, playground, Withlacoochee State Trail access.

Eligibility: Open to public. Day-use only confirmed. No fee noted. Equestrian use welcome (horse trailer parking, trails).",,Brooksville,true,false,false,,,available,verified,true,https://www.hernandocounty.us/community-recreation/parks-recreation/lake-townsen-regional-park/,live_db,90,28.6481,-82.1731,geocoded,true,high,ready_for_import,exported from live db — migration 008+012,physical_site,,,nonprofit,,
HERN-PARKS-001-linda-pedersen-park-at-jenkins-creek-outdoor_space,HERN-PARKS-001,Hernando County Parks & Recreation,Hernando County Parks & Recreation,Hernando County Parks & Recreation,Linda Pedersen Park at Jenkins Creek,outdoor_space,outdoor_space,outdoor_space,day_use_park_with_showers,day_use_park_with_showers,6300 Shoal Line Blvd,Spring Hill,FL,34607,(352) 754-4031,parksandrec@hernandocounty.us,https://www.hernandocounty.us/community-recreation/parks-recreation/linda-pedersen-park-at-jenkins-creek/,8 AM to sunset,"County park (135 acres) on Jenkins Creek connected to Gulf. Restrooms: confirmed. Showers: confirmed – showers available at swim/beach area. Camping: NOT allowed – day-use only; Hernando County ESL preserves prohibit overnight camping. Overnight parking: NOT allowed. Features: grills, picnic tables, 3 pavilions for rent, swimming area, playground, community building, observation tower, kayak/canoe launch, boardwalk to Jenkins Creek Park across street.

Eligibility: Open to public. 3 pavilions available for rent. Day-use only. No lifeguards on duty.",,Spring Hill,true,false,false,,,available,verified,true,https://www.hernandocounty.us/community-recreation/parks-recreation/linda-pedersen-park-at-jenkins-creek/,live_db,90,28.5237,-82.6363,geocoded,true,high,ready_for_import,exported from live db — migration 008+012,physical_site,,,nonprofit,,
HERN-PARKS-001-rogers-park-outdoor_space,HERN-PARKS-001,Hernando County Parks & Recreation,Hernando County Parks & Recreation,Hernando County Parks & Recreation,Rogers Park,outdoor_space,outdoor_space,outdoor_space,day_use_park_with_showers,day_use_park_with_showers,7244 Shoal Line Blvd,Spring Hill,FL,34607,(352) 754-4031,parksandrec@hernandocounty.us,https://www.hernandocounty.us/community-recreation/parks-recreation/rogers-park/,8 AM to sunset,"Day-use county park on the Weeki Wachee River. Restrooms: confirmed. Showers: confirmed – rinsing showers available (outdoor showers at beach/swim area). Camping: NOT allowed – Hernando County parks are day-use only; no camping confirmed. Overnight parking: NOT allowed – day-use only. Features: boat ramp, canoe launch, swimming area, observation deck, playground, barbecue grills, volleyball court, picnic tables, shelter.

Eligibility: Open to public, no fee noted. Day-use only. No lifeguards on duty.",,Spring Hill,true,false,false,,,available,verified,true,https://www.hernandocounty.us/community-recreation/parks-recreation/rogers-park/,live_db,90,28.5355,-82.639,geocoded,true,high,ready_for_import,exported from live db — migration 008+012,physical_site,,,nonprofit,,
HILLS-PARKS-001-alafia-river-corridor-nature-preserve-primitive-camping-outdoor_space,HILLS-PARKS-001,Hillsborough County Parks & Recreation,Hillsborough County Parks & Recreation,Hillsborough County Parks & Recreation,Alafia River Corridor Nature Preserve – Primitive Camping,outdoor_space,outdoor_space,outdoor_space,primitive_campground,primitive_campground,9256 S County Rd 39,Plant City,FL,33567,(813) 672-7876,,https://hcfl.gov/locations/alafia-river-corridor-nature-preserve-north,Open sunrise to sunset,"Nature preserve with free primitive tent-only camping. Restrooms: confirmed – at trailhead/day-use area per Florida Hikes verified source. Showers: NOT available. Camping: confirmed – 3 primitive campsites (Otter 2.5 mi, Hawk 2.2 mi, Bobcat 1 mi from trailhead); hike-in required; no water or electricity; FREE; reservations required at least 14 days in advance. Overnight parking: NOT applicable – hike-in sites only, vehicles park at trailhead.

Eligibility: Free camping; reservations required at least 14 days in advance via online form or call (813) 672-7876 Mon–Fri 8 AM–4 PM.",,Plant City,true,false,false,,,available,verified,true,https://hcfl.gov/locations/alafia-river-corridor-nature-preserve-north,live_db,90,27.8712,-82.1357,geocoded,true,high,ready_for_import,exported from live db — migration 008+012,physical_site,,,nonprofit,,
HILLS-PARKS-001-aldermans-ford-conservation-park-primitive-campground-outdoor_space,HILLS-PARKS-001,Hillsborough County Parks & Recreation,Hillsborough County Parks & Recreation,Hillsborough County Parks & Recreation,Alderman's Ford Conservation Park – Primitive Campground,outdoor_space,outdoor_space,outdoor_space,primitive_campground,primitive_campground,100 Alderman's Ford Park Dr,Lithia,FL,33547,(813) 757-3801,,https://hcfl.gov/locations/aldermans-ford-conservation-park,Park open Spring/Summer 8 AM–7 PM; Fall/Winter 8 AM–6 PM,"Conservation park with primitive hike-in tent camping. Restrooms: confirmed – restroom facility located approximately 0.5 mile from campsites (no showers). Showers: NOT available at campsites. Camping: confirmed – 4 primitive tent-only sites, $2/person minimum $12; hike-in 1–1.5 miles; no water or electricity at sites; must pack out all trash. Youth group camping also available (2 sites). Overnight parking: NOT applicable – sites are hike-in only; vehicles park at trailhead during the day.

Eligibility: Open to public. Reservations required – call (813) 757-3801. No day-use fee. No vehicle overnight parking.",,Lithia,true,false,false,,,available,verified,true,https://hcfl.gov/locations/aldermans-ford-conservation-park,live_db,90,27.8671,-82.1381,geocoded,true,high,ready_for_import,exported from live db — migration 008+012,physical_site,,,nonprofit,,
